開始時間,結束時間,開始總水量,結束總水量,使用水量
2023-10-14 00:07:09,2023-10-15 00:00:57,30.8,31.1,0.3
2023-10-13 00:06:32,2023-10-14 00:07:09,30.5,30.8,0.3
2023-10-12 00:03:33,2023-10-13 00:06:32,30.3,30.5,0.2
2023-10-11 00:00:35,2023-10-12 00:03:33,29.9,30.3,0.4
2023-10-10 00:06:49,2023-10-11 00:00:35,29.7,29.9,0.2
2023-10-09 00:01:51,2023-10-10 00:06:49,29.6,29.7,0.1
2023-10-08 00:04:14,2023-10-09 00:01:51,29.6,29.6,0
2023-10-07 00:00:11,2023-10-08 00:04:14,29.3,29.6,0.3
2023-10-06 00:06:59,2023-10-07 00:00:11,28.9,29.3,0.4
2023-10-05 00:04:05,2023-10-06 00:06:59,28.5,28.9,0.4
2023-10-04 00:01:31,2023-10-05 00:04:05,28.2,28.5,0.3
2023-10-03 00:07:28,2023-10-04 00:01:31,28,28.2,0.2
2023-10-02 00:04:28,2023-10-03 00:07:28,27.7,28,0.3
2023-10-01 00:00:26,2023-10-02 00:04:28,27.7,27.7,0
2023-09-30 00:03:21,2023-10-01 00:00:26,27.6,27.7,0.1
使用總水量(度),3.5
每度水(元),17
金額(元),59.5
