開始時間,結束時間,開始總水量,結束總水量,使用水量
2023-10-14 00:06:41,2023-10-15 00:04:29,13.7,13.7,0
2023-10-13 00:03:17,2023-10-14 00:06:41,13.6,13.7,0.1
2023-10-12 00:00:21,2023-10-13 00:03:17,13.6,13.6,0
2023-10-11 00:06:34,2023-10-12 00:00:21,13.5,13.6,0.1
2023-10-10 00:03:33,2023-10-11 00:06:34,13.5,13.5,0
2023-10-09 00:00:34,2023-10-10 00:03:33,13.4,13.5,0.1
2023-10-08 00:05:50,2023-10-09 00:00:34,13.4,13.4,0
2023-10-07 00:00:32,2023-10-08 00:05:50,13.4,13.4,0
2023-10-06 00:03:17,2023-10-07 00:00:32,13.3,13.4,0.1
2023-10-05 00:00:21,2023-10-06 00:03:17,13.1,13.3,0.2
2023-10-04 00:06:30,2023-10-05 00:00:21,13.1,13.1,0
2023-10-03 00:09:12,2023-10-04 00:06:30,13,13.1,0.1
2023-10-02 00:01:11,2023-10-03 00:09:12,12.9,13,0.1
2023-10-01 00:06:21,2023-10-02 00:01:11,12.9,12.9,0
2023-09-30 00:01:02,2023-10-01 00:06:21,12.9,12.9,0
使用總水量(度),0.8
每度水(元),17
金額(元),13.6
